gt_value,prediction,error,absolute_error,relative_error,absolute_relative_error,relative_error_percent,absolute_relative_error_percent
444400,466060.09165427,21660.091654270014,21660.091654270014,0.048740080230130545,0.048740080230130545,4.8740080230130545,4.8740080230130545
479750,604785.8255845073,125035.82558450731,125035.82558450731,0.26062704655447066,0.26062704655447066,26.062704655447067,26.062704655447067
580750,561529.7731874549,-19220.226812545094,19220.226812545094,-0.033095526151605846,0.033095526151605846,-3.3095526151605847,3.3095526151605847
157410,166130.4160509663,8720.416050966305,8720.416050966305,0.05539937774579954,0.05539937774579954,5.539937774579954,5.539937774579954
808000,818247.3351643912,10247.335164391203,10247.335164391203,0.012682345500484162,0.012682345500484162,1.2682345500484162,1.2682345500484162
925650,968130.6625736807,42480.66257368075,42480.66257368075,0.04589279163148139,0.04589279163148139,4.589279163148139,4.589279163148139
445500,554574.6427303051,109074.64273030509,109074.64273030509,0.24483645955175104,0.24483645955175104,24.483645955175103,24.483645955175103
509850,523326.9347252731,13476.93472527311,13476.93472527311,0.026433136658376207,0.026433136658376207,2.6433136658376206,2.6433136658376206
306900,271200.9081452421,-35699.09185475792,35699.09185475792,-0.11632157658767651,0.11632157658767651,-11.632157658767651,11.632157658767651
353500,356737.13716177776,3237.1371617777622,3237.1371617777622,0.009157389425113896,0.009157389425113896,0.9157389425113895,0.9157389425113895
277750,291357.4558115565,13607.455811556487,13607.455811556487,0.04899174009561291,0.04899174009561291,4.899174009561291,4.899174009561291
237600,271563.9250251831,33963.925025183125,33963.925025183125,0.14294581239555187,0.14294581239555187,14.294581239555187,14.294581239555187
297000,304781.26195391687,7781.261953916866,7781.261953916866,0.026199535198373286,0.026199535198373286,2.6199535198373285,2.6199535198373285
772200,790531.9837189413,18331.983718941337,18331.983718941337,0.023739942655971687,0.023739942655971687,2.373994265597169,2.373994265597169
383800,402914.13696073944,19114.136960739444,19114.136960739444,0.0498023370524738,0.0498023370524738,4.98023370524738,4.98023370524738
338350,361702.1114594873,23352.111459487292,23352.111459487292,0.06901761920936099,0.06901761920936099,6.9017619209360985,6.9017619209360985
